Период действия;Ставка, % годовых;Нормативный документ;;;;
С 1 января 2016 г.;Значение соответствует значению ключевой ставки Банка России на соответствующую дату;Указание Банка России от 11.12.2015 № 3894-У «О ставке рефинансирования Банка России и ключевой ставке Банка России»;;;;
14 сентября 2012 г. – 31 декабря 2015 г.;8,25;Указание Банка России от 13.09.2012 № 2873-У «О размере ставки рефинансирования Банка России»;;;;
26 декабря 2011 г. – 13 сентября 2012 г.;8;Указание Банка России от 23.12.2011 № 2758-У «О размере ставки рефинансирования Банка России»;;;;
3 мая 2011 г. – 25 декабря 2011 г.;8,25;Указание Банка России от 29.04.2011 № 2618-У «О размере ставки рефинансирования Банка России»;;;;
28 февраля 2011 г. – 2 мая 2011 г.;8;Указание Банка России от 25.02.2011 № 2583-У «О размере ставки рефинансирования Банка России»;;;;
1 июня 2010 г. – 27 февраля 2011 г.;7,75;Указание Банка России от 31.05.2010 № 2450-У «О размере ставки рефинансирования Банка России»;;;;
30 апреля 2010 г. – 31 мая 2010 г.;8;Указание Банка России от 29.04.2010 № 2439-У «О размере ставки рефинансирования Банка России»;;;;
29 марта 2010 г. – 29 апреля 2010 г.;8,25;Указание Банка России от 26.03.2010 № 2415-У «О размере ставки рефинансирования Банка России»;;;;
24 февраля 2010 г. – 28 марта 2010 г.;8,5;Указание Банка России от 19.02.2010 № 2399-У «О размере ставки рефинансирования Банка России»;;;;
28 декабря 2009 г. – 23 февраля 2010 г.;8,75;Указание Банка России от 25.12.2009 № 2369-У «О размере ставки рефинансирования Банка России»;;;;
25 ноября 2009 г. – 27 декабря 2009 г.;9;Указание Банка России от 24.11.2009 № 2336-У «О размере ставки рефинансирования Банка России»;;;;
30 октября 2009 г. – 24 ноября 2009 г.;9,5;Указание Банка России от 29.10.2009 № 2313-У «О размере ставки рефинансирования Банка России»;;;;
30 сентября 2009 г. – 29 октября 2009 г.;10;Указание Банка России от 29.09.2009 № 2299-У «О размере ставки рефинансирования Банка России»;;;;
15 сентября 2009 г. – 29 сентября 2009 г.;10,5;Указание Банка России от 14.09.2009 № 2287-У «О размере ставки рефинансирования Банка России»;;;;
10 августа 2009 г. – 14 сентября 2009 г.;10,75;Указание Банка России от 07.08.2009 № 2270-У «О размере ставки рефинансирования Банка России»;;;;
13 июля 2009 г. – 9 августа 2009 г.;11;Указание Банка России от 10.07.2009 № 2259-У «О размере ставки рефинансирования Банка России»;;;;
5 июня 2009 г. – 12 июля 2009 г.;11,5;Указание Банка России от 04.06.2009 № 2247-У «О размере ставки рефинансирования Банка России»;;;;
14 мая 2009 г. – 4 июня 2009 г.;12;Указание Банка России от 13.05.2009 № 2230-У «О размере ставки рефинансирования Банка России»;;;;
24 апреля 2009 г. – 13 мая 2009 г.;12,5;Указание Банка России от 23.04.2009 № 2222-У «О размере ставки рефинансирования Банка России»;;;;
1 декабря 2008 г. – 23 апреля 2009 г.;13;Указание Банка России от 28.11.2008 № 2135-У «О размере ставки рефинансирования Банка России»;;;;
12 ноября 2008 г. – 30 ноября 2008 г.;12;Указание Банка России от 11.11.2008 № 2123-У «О размере ставки рефинансирования Банка России»;;;;
14 июля 2008 г. – 11 ноября 2008 г.;11;Указание Банка России от 11.07.2008 № 2037-У «О размере ставки рефинансирования Банка России»;;;;
10 июня 2008 г. – 13 июля 2008 г.;10,75;Указание Банка России от 09.06.2008 № 2022-У «О размере ставки рефинансирования Банка России»;;;;
29 апреля 2008 г. – 9 июня 2008 г.;10,5;Указание Банка России от 28.04.2008 № 1997-У «О размере ставки рефинансирования Банка России»;;;;
4 февраля 2008 г. – 28 апреля 2008 г.;10,25;Указание Банка России от 01.02.2008 № 1975-У «О размере ставки рефинансирования Банка России»;;;;
19 июня 2007 г. – 3 февраля 2008 г.;10;Телеграмма Банка России от 18.06.2007 № 1839-У;;;;
29 января 2007 г. – 18 июня 2007 г.;10,5;Телеграмма Банка России от 26.01.2007 № 1788-У;;;;
23 октября 2006 г. – 28 января 2007 г.;11;Телеграмма Банка России от 20.10.2006 № 1734-У;;;;
26 июня 2006 г. – 22 октября 2006 г.;11,5;Телеграмма Банка России от 23.06.2006 № 1696-У;;;;
26 декабря 2005 г. – 25 июня 2006 г.;12;Телеграмма Банка России от 23.12.2005 № 1643-У;;;;
15 июня 2004 г. – 25 декабря 2005 г.;13;Телеграмма Банка России от 11.06.2004 № 1443-У;;;;
15 января 2004 г. – 14 июня 2004 г.;14;Телеграмма Банка России от 14.01.2004 № 1372-У;;;;
21 июня 2003 г. – 14 января 2004 г.;16;Телеграмма Банка России от 20.06.2003 № 1296-У;;;;
17 февраля 2003 г. – 20 июня 2003 г.;18;Телеграмма Банка России от 14.02.2003 № 1250-У;;;;
7 августа 2002 г. – 16 февраля 2003 г.;21;Телеграмма Банка России от 06.08.2002 № 1185-У;;;;
9 апреля 2002 г. – 6 августа 2002 г.;23;Телеграмма Банка России от 08.04.2002 № 1133-У;;;;
4 ноября 2000 г. – 8 апреля 2002 г.;25;Телеграмма Банка России от 03.11.2000 № 855-У;;;;
10 июля 2000 г. – 3 ноября 2000 г.;28;Телеграмма Банка России от 07.07.2000 № 818-У;;;;
21 марта 2000 г. – 9 июля 2000 г.;33;Телеграмма Банка России от 20.03.2000 № 757-У;;;;
7 марта 2000 г. – 20 марта 2000 г.;38;Телеграмма Банка России от 06.03.2000 № 753-У;;;;
24 января 2000 г. – 6 марта 2000 г.;45;Телеграмма Банка России от 21.01.2000 № 734-У;;;;
10 июня 1999 г. – 23 января 2000 г.;55;Телеграмма Банка России от 09.06.99 № 574-У;;;;
24 июля 1998 г. – 9 июня 1999 г.;60;Телеграмма Банка России от 24.07.98 № 298-У;;;;
29 июня 1998 г. – 23 июля 1998 г.;80;Телеграмма Банка России от 26.06.98 № 268-У;;;;
5 июня 1998 г. – 28 июня 1998 г.;60;Телеграмма Банка России от 04.06.98 № 252-У;;;;
27 мая 1998 г. – 4 июня 1998 г.;150;Телеграмма Банка России от 27.05.98 № 241-У;;;;
19 мая 1998 г. – 26 мая 1998 г.;50;Телеграмма Банка России от 18.05.98 № 234-У;;;;
16 марта 1998 г. – 18 мая 1998 г.;30;Телеграмма Банка России от 13.03.98 № 185-У;;;;
2 марта 1998 г. – 15 марта 1998 г.;36;Телеграмма Банка России от 27.02.98 № 181-У;;;;
17 февраля 1998 г. – 1 марта 1998 г.;39;Телеграмма Банка России от 16.02.98 № 170-У;;;;
2 февраля 1998 г. – 16 февраля 1998 г.;42;Телеграмма Банка России от 30.01.98 № 154-У;;;;
11 ноября 1997 г. – 1 февраля 1998 г.;28;Телеграмма Банка России от 10.11.97 № 13-У;;;;
6 октября 1997 г. – 10 ноября 1997 г.;21;Телеграмма Банка России от 01.10.97 № 83–97;;;;
16 июня 1997 г. – 5 октября 1997 г.;24;Телеграмма Банка России от 13.06.97 № 55–97;;;;
28 апреля 1997 г. – 15 июня 1997 г.;36;Телеграмма Банка России от 24.04.97 № 38–97;;;;
10 февраля 1997 г. – 27 апреля 1997 г.;42;Телеграмма Банка России от 07.02.97 № 9–97;;;;
